	title	description
0	Bất động sản nghỉ dưỡng gặp khó vì thiếu hụt nhân lực du lịch	Ngành dịch vụ du lịch chỉ đáp ứng được 60% nhu cầu nhân sự khiến các nhà phát triển dự án nghỉ dưỡng Việt Nam đau đầu.
1	Bí quyết để Mộc Châu Milk trở thành 'chuyên gia bò sữa'	Các sản phẩm Mộc Châu Milk luôn giữ vẹn nguyên sự tươi ngon, hàm lượng dinh dưỡng cao cùng hương vị nguyên chất thuần khiết.
2	Thu phí bảo hiểm AIA qua Bản Việt vượt 80% kế hoạch sau một năm hợp tác	Hết 2018, tất cả các chi nhánh, phòng giao dịch của ngân hàng đều có doanh số phí bảo hiểm với gần 3.000 khách hàng tham gia.
3	Kiến trúc sư Italy mang âm hưởng La Mã vào kiến trúc dự án tại Sài Gòn	Giá trị tinh hoa của nền văn minh La Mã như mái vòm, cột trụ, hồ nước nóng, quảng trường, vườn treo... thể hiện rõ tại Rome by Diamond Lotus.
4	VIB miễn phí rút tiền qua ATM và phí chuyển tiền	Với chiến lược trở thành ngân hàng giao dịch hàng đầu, Ngân hàng Quốc tế (VIB) miễn toàn bộ các loại phí giao dịch thông dụng nhất.
5	Địa ốc Phú Long vào top thương hiệu mạnh Việt Nam	Doanh nghiệp nhận đánh giá cao về chiến lược nhân lực, công nghệ và chất lượng sản phẩm, dịch vụ trong năm 2018.
6	Giá vàng tuần này được dự báo tăng	Mỗi lượng biến động vài chục nghìn đồng tùy nơi, trong bối cảnh vàng thế giới tuần này được dự báo tăng.
7	VIB được vinh danh về ngân hàng số ba năm liên tiếp	Ngân hàng Quốc tế được đánh giá cao khi tối ưu hóa sản phẩm dịch vụ trong lĩnh vực ngân hàng số.
8	Cuộc sống thanh bình ở nơi rẻ nhất nước Mỹ	Beckley là trung tâm y tế, giáo dục của bang West Virginia, nơi có đời sống văn hóa, thể thao phong phú và giá nhà chỉ tầm 110.000 USD mỗi căn.
9	'Vua tương ớt' đối đầu với người Thái	Doanh nhân gốc Việt David Trần đang đối mặt với tham vọng chiếm lĩnh thị trường Mỹ của đối thủ mới đến từ Thái Lan.
